btm,btm,someara,schisamo,jtimberman,juliandunn,lamont-granquist,sethvargo,doublerr,danielsdeleo,guilhem,tas50,stevendanna,prometheanfire,sawanoboly,zuazo
defunctzombie,defunctzombie,mistydemeo,thlorenz,mattrobenolt,aredridel,feross,jamielinux,cristiandouce,andreypopp,vincentbernat,docwhat,wilmoore,pencil,andypiper,ben-ng
ealonso,ealonso,JorgeFerrer,shuyangzhou,topolik,laszlocsontos,KocsisDaniel,rotty3000,epgarcia,robertoDiaz,matethurzo,lipusz,mhan810,ipeychev,marcellustavares,samuelkong
ahmadia,ahmadia,gvwilson,ivanov,wking,scopatz,phalcon,cavneb,alexandresalome,trek,arokem,joliss,teddyzeenny,ebryn,potomak,twokul
treeder,treeder,adelevie,jpadilla,tychoish,Peeja,halfdan,markstory,ebidel,gegere,joshk,dongweiming,thomasboyt,gjtorikian,henrikhodne,parkr
jeremyfelt,jeremyfelt,danielbachhuber,fgrehm,till,willmot,RobinvdVleuten,atomic-penguin,aaronjorbin,johnbellone,hectcastro,mpapis,justincampbell,schisamo,schlamar,scribu
peterbe,peterbe,lonnen,jgmize,pmclanahan,andymckay,jezdez,willkg,rlr,m8ttyB,glogiotatidis,Osmose,codekitchen,tofumatt,cavneb,stephendonner
dereuromark,dereuromark,lorenzo,ADmad,markstory,AD7six,rchavik,josegonzalez,burzum,real34,WyriHaximus,tychoish,cristiandouce,ebidel,taylorotwell,schmunk42
stewart,stewart,deadprogram,edgarSilva,abotalov,tenderlove,jdurand,joliss,justincampbell,krainboltgreene,arthurnn,parndt,cjohansen,scottgonzalez,niwibe,dandv
andymckay,andymckay,kumar303,robhudson,cvan,tofumatt,peterbe,brutasse,ametaireau,mgaitan,mattupstate,aaugustin,alimony,Neamar,WoLpH,ktmud
andylyall,andylyall,LeaVerou,rafaelfranca,markijbema,f2prateek,eddiemonge,pezholio,till,mbostock,dahlia,henrikbjorn,cjohansen,scottgonzalez,esoergel,invsblduck
Turbo87,Turbo87,tschaub,Ivoz,leplatrem,lepture,mgaitan,mattupstate,domoritz,alfredodeza,jdurand,titanous,carlossg,bfontaine,rlidwka,ktmud
justinabrahms,justinabrahms,chrisdickinson,guilhem,igalic,akaptur,fcurella,aheckmann,samccone,afeld,pydanny,acdha,alex,jezdez,dominictarr,Raynos
ruebot,ruebot,MorganDawe,qadan,ajstanley,nigelgbanks,willtp87,daniel-dgi,adam-vessey,jordandukart,edsu,lbjay,henrikbjorn,rafaelfranca,dahlia,dandv
cvrebert,cvrebert,s0undt3ch,philfreo,dongweiming,glebm,dstufft,ZDroid,myint,mistydemeo,koenpunt,deiga,eddiemonge,demands,just-boris,richo
shrikeh,shrikeh,thewilkybarkid,jasonkarns,henrikbjorn,xtian,Shotclog,Irio,tlvince,Peeja,ronanguilloux,alext,stloyd,vicb,mickaelandrieu,steventux
domcleal,domcleal,GregSutcliffe,ohadlevy,ares,abenari,skottler,lzap,iNecas,eLobato,komidore64,pitr-ch,ehelms,haus,adrienthebo,carlossg
juliocamarero,juliocamarero,sergiogonzalez,hhuijser,samuelkong,moltam89,matethurzo,jonmak08,laszlocsontos,marclundgren,JorgeFerrer,ipeychev,marcellustavares,ealonso,shuyangzhou,topolik
arunoda,arunoda,raix,mitar,alsotang,rlidwka,dandv,gkorland,coderaiser,sam-github,yorkie,silverbucket,tmeasday,grncdr,Aaron1011,henrikhodne
ai,ai,JangoSteve,iainbeeston,elia,PikachuEXE,miry,wyuenho,tomByrer,kirs,rmm5t,parndt,sferik,jonathanong,andreypopp,just-boris
bobsilverberg,bobsilverberg,stephendonner,AndreiH,bebef1987,m8ttyB,jugglinmike,cvan,kumar303,jrburke,shane-tomlinson,willkg,lightsofapollo,tofumatt,jgmize,gaye
taylorotwell,taylorotwell,crynobone,franzliedke,AndreasHeiberg,PunKeel,Anahkiasen,barryvdh,Hywan,philsturgeon,scribu,GrahamCampbell,denis-sokolov,BigBlueHat,jeremeamia,adrianmacneil
Contra,Contra,phated,ajoslin,jackfranklin,guille,thanpolas,3rd-Eden,jherdman,appleboy,euforic,nfroidure,ZDroid,terinjokes,KenanY,defunctzombie
dantleech,dantleech,uwej711,dbu,WouterJ,lsmith77,shieldo,EmmanuelVella,nicolas-bastien,cordoval,eko,dunglas,rande,lyrixx,Maks3w,fabpot
jreidinger,jreidinger,kobliha,lslezak,mvidner,jsuchome,rafaelfranca,eddiemonge,pezholio,saltybeagle,till,mbostock,dahlia,henrikbjorn,markijbema,cjohansen
chris-rock,chris-rock,lloydwatkin,prometheanfire,silverbucket,samccone,andris9,meteormatt,olalonde,gjohnson,jrf0110,euforic,cristiandouce,titanous,jdurand,atomic-penguin
alrra,alrra,patrickkettner,paulirish,necolas,addyosmani,mathiasbynens,sindresorhus,stephenplusplus,robwierzbowski,kevva,jprice,oncletom,eddiemonge,forkbot,prashtx
