btm,btm,domcleal,docwhat,bf4,Nerian,ka8725,afeld,mislav,zzak,simi
defunctzombie,defunctzombie,demands,timruffles,kesla,jc00ke,benilovj,GavinJoyce,potomak,janl,ixti
ealonso,ealonso,shuyangzhou,robertoDiaz,laszlocsontos,topolik,zsigmondrab,JorgeFerrer,juangon,marcellustavares,ipeychev
ahmadia,ahmadia,robyoung,gvwilson,wking,dongweiming,tshepang,streeter,rgbkrk,phalcon,mgax
treeder,treeder,samjsharpe,whilp,drapergeek,gildegoma,joemiller,tibbon,frankshearar,konklone,Rizziepit
jeremyfelt,jeremyfelt,CloCkWeRX,CHH,loopj,RobinvdVleuten,danielbeardsley,rtripault,jordanlgraham,Rud5G,clayallsopp
peterbe,peterbe,gavinwahl,davisagli,Natim,carljm,jakevdp,Bouke,yakky,mdboom,coagulant
dereuromark,dereuromark,rchavik,ceeram,jubianchi,robocoder,huglester,vus520,DannyJoris,gajdaw,karolsojko
stewart,stewart,GUI,edgarSilva,masondesu,Snugug,alexanderbeletsky,cjcolvar,adamjacobbecker,Asmod4n,christophermanning
andymckay,andymckay,akshar-raaj,tdesvenain,areski,rockymeza,pmclanahan,wolever,morty,noirbizarre,dpoirier
andylyall,andylyall,jvanzyl,habuma,codjo-sandbox,branflake2267,pylerSM,codjo,aapje007,Wild1145,greese
Turbo87,Turbo87,drj11,maxfliri,Iristyle,mibamur,BYK,CodeBlock,arian,jrf0110,sbellity
justinabrahms,justinabrahms,davedash,FND,rossjones,kynan,canuckistani,tony,marksteve,oddshocks,matthewfl
ruebot,ruebot,pscheit,BenoitLeveque,asm89,h4cc,mweimerskirch,cableman,jakzal,K-Phoen,digitalkaoz
cvrebert,cvrebert,mattrobenolt,forkbot,berkerpeksag,waffleio,tomfuertes,gunn,joliss,jamesarosen,alexspeller
shrikeh,shrikeh,CHH,Freeaqingme,RobinvdVleuten,roderik,ciarand,neochief,CloCkWeRX,camspiers,qrush
domcleal,domcleal,bf4,Nerian,docwhat,ka8725,mislav,btm,afeld,simi,joneslee85
juliocamarero,juliocamarero,sergiogonzalez,jonmak08,hhuijser,moltam89,samuelkong,zberentey,matethurzo,marclundgren,ipeychev
arunoda,arunoda,jcrugzz,heff,andyburke,Rich-Harris,aldafu,gkorland,mcollina,tristen,hughsk
ai,ai,jherdman,sdepold,lencioni,andrew,commadelimited,akzhan,glebm,nubs,elia
