btm,btm,miry,sanemat,rafaelfranca,xaviershay,wfarr,arthurnn,petergoldstein,vipulnsward,grosser
defunctzombie,defunctzombie,glebm,gdi2290,kesla,terinjokes,demands,potomak,janl,locks,MoOx
ealonso,ealonso,robertoDiaz,shuyangzhou,laszlocsontos,topolik,JorgeFerrer,marcellustavares,ipeychev,rotty3000,csierra
ahmadia,ahmadia,wking,rgbkrk,robyoung,thedrow,arokem,kevinburke,dongweiming,mattrobenolt,gvwilson
treeder,treeder,tombooth,djmitche,annashipman,mattupstate,konklone,jpmckinney,openstack-gerrit,stevendgonzales,igalic
jeremyfelt,jeremyfelt,gegere,danielbeardsley,loopj,RobinvdVleuten,CloCkWeRX,joshbetz,rjmackay,camspiers,verdet23
peterbe,peterbe,davisagli,Natim,Tschanzt,ninfaj,wolever,tfoote,rlr,wjwwood,jgmize
dereuromark,dereuromark,BenoitLeveque,harikt,ezzatron,mnapoli,rchavik,jubianchi,dokuwiki-translate,sminnee,vicb
stewart,stewart,tomhughes,bencevans,halfdan,edgarSilva,masondesu,hatchan,pboling,bahamas10,HeroicEric
andymckay,andymckay,elioschmutz,tdesvenain,pmclanahan,esc,rlr,sander1,stephendonner,fcurella,niwibe
andylyall,DrkMatr1984,andylyall,Lucariatias,tterrag1098,codjo,SAC-CS,fredericBregier,nicolas-f,pconrad,pylerSM
Turbo87,Turbo87,CodeBlock,scopatz,nickstenning,konklone,annashipman,roc,mibamur,treeder,jrf0110
justinabrahms,justinabrahms,lbjay,migurski,matthewfl,warner,mekarpeles,garbados,Neamar,joneshf,edsu
ruebot,ruebot,h4cc,weierophinney,BenoitLeveque,taylorotwell,NamelessCoder,dunglas,mnapoli,egeloen,dominikzogg
cvrebert,cvrebert,mattrobenolt,forkbot,Zearin,MoOx,potomak,joliss,cavneb,waffleio,kud
shrikeh,shrikeh,CloCkWeRX,RobinvdVleuten,roderik,camspiers,mvriel,Anahkiasen,jprice,crynobone,hkdobrev
domcleal,domcleal,grosser,charliesome,kirs,rafaelfranca,wfarr,sanemat,arthurnn,btm,tboerger
juliocamarero,juliocamarero,sergiogonzalez,jonmak08,hhuijser,moltam89,samuelkong,matethurzo,marclundgren,ipeychev,marcellustavares
arunoda,arunoda,zaach,mcollina,unwiredben,joscha,Contra,jcrugzz,ScottDowne,EvanHahn,sam-github
ai,ai,andrew,janl,demands,ixti,kesla,glebm,robwierzbowski,jherdman,Aaron1011
bobsilverberg,bobsilverberg,treyhunner,acdha,biyeun,yedi,robhudson,AndreiH,bebef1987,deiferni,whit537
taylorotwell,taylorotwell,mickaelandrieu,Maks3w,dominikzogg,ruebot,egeloen,weierophinney,rande,dunglas,willdurand
Contra,Contra,mcollina,unwiredben,arunoda,zaach,caridy,joscha,rschmukler,papandreou,cadecairos
dantleech,dantleech,shieldo,stloyd,adrienbrault,uwej711,beberlei,schmittjoh,tristanlins,nicolas-bastien,romainneutron
jreidinger,jreidinger,branan,lslezak,bodepd,MosesMendoza,komidore64,iloveitaly,jhoblitt,blkperl,cam156
chris-rock,chris-rock,jfirebaugh,deepak1556,arian,robwierzbowski,Daniel-Hug,OliverJAsh,jrf0110,mibamur,Bartvds
alrra,alrra,ebidel,jfromaniello,mitar,jiyinyiyong,garbas,grncdr,matthewwithanm,phuu,spicyj
vojtajina,vojtajina,JacksonTian,oncletom,jgable,hughsk,alicoding,gr2m,hueniverse,just-boris,kevva
Eric-Brison,Eric-Brison,real34,GaryJones,brendo,Jako,betweenbrain,mbeall,kurund,dmi3yy,JeroenDeDauw
deepak1556,deepak1556,jfirebaugh,Daniel-Hug,arian,chris-rock,OliverJAsh,Swaagie,Bartvds,jrf0110,robwierzbowski
tansaku,tansaku,matthias-guenther,cldwalker,leereilly,codekitchen,colinta,wvanbergen,nesquena,JustinAiken,jnunemaker
trangvh,trangvh,matthesrieke,nuest,normanmaurer,PaulVI,VineetReynolds,secondsun,pentaho-nbaker,danielpassos,rfellows
epgarcia,epgarcia,KocsisDaniel,csierra,lipusz,jhinkey,mhan810,rotty3000,topolik,blzaugg,shuyangzhou
tfoote,tfoote,Tschanzt,Natim,wolever,dirk-thomas,ninfaj,jgmize,JensTimmerman,stdweird,wjwwood
