btm,btm,miry,sanemat,rafaelfranca,xaviershay,wfarr,arthurnn,petergoldstein,vipulnsward,grosser,VictorLowther,domcleal,tboerger,charliesome,ares
defunctzombie,defunctzombie,glebm,gdi2290,kesla,terinjokes,demands,potomak,janl,locks,MoOx,xtian,PascalPrecht,cavneb,eviltrout,joefiorini
ealonso,ealonso,robertoDiaz,shuyangzhou,laszlocsontos,topolik,JorgeFerrer,marcellustavares,ipeychev,rotty3000,csierra,marclundgren,matethurzo,epgarcia,KocsisDaniel,lipusz
ahmadia,ahmadia,wking,rgbkrk,robyoung,thedrow,arokem,kevinburke,dongweiming,mattrobenolt,gvwilson,streeter,willkg,msabramo,whit537,kmike
treeder,treeder,tombooth,djmitche,annashipman,mattupstate,konklone,jpmckinney,openstack-gerrit,stevendgonzales,igalic,nickstenning,eric,ryandub,domoritz,rjocoleman
jeremyfelt,jeremyfelt,gegere,danielbeardsley,loopj,RobinvdVleuten,CloCkWeRX,joshbetz,rjmackay,camspiers,verdet23,shrikeh,cweiske,roderik,jockri,aequasi
peterbe,peterbe,davisagli,Natim,Tschanzt,ninfaj,wolever,tfoote,rlr,wjwwood,jgmize,dirk-thomas,JensTimmerman,stdweird,gregcaporaso,tseaver
dereuromark,dereuromark,BenoitLeveque,harikt,ezzatron,mnapoli,rchavik,jubianchi,dokuwiki-translate,sminnee,vicb,K-Phoen,ruebot,robocoder,halkyon,weierophinney
stewart,stewart,tomhughes,bencevans,halfdan,edgarSilva,masondesu,hatchan,pboling,bahamas10,HeroicEric,cjcolvar,daguar,JangoSteve,faceleg,Trott
andymckay,andymckay,elioschmutz,tdesvenain,pmclanahan,esc,rlr,sander1,stephendonner,fcurella,niwibe,reinout,gregcaporaso,ipa-nhg,toastdriven,wjwwood
andylyall,DrkMatr1984,andylyall,Lucariatias,tterrag1098,codjo,SAC-CS,fredericBregier,nicolas-f,pconrad,pylerSM,stuntguy3000,marcioendo,psgs,dscho,AbrarSyed
Turbo87,Turbo87,CodeBlock,scopatz,nickstenning,konklone,annashipman,roc,mibamur,treeder,jrf0110,nijel,mcepl,gvwilson,phalcon,deadprogram
justinabrahms,justinabrahms,lbjay,migurski,matthewfl,warner,mekarpeles,garbados,Neamar,joneshf,edsu,crccheck,stdavis,nonZero,nemesisdesign,ktmud
ruebot,ruebot,h4cc,weierophinney,BenoitLeveque,taylorotwell,NamelessCoder,dunglas,mnapoli,egeloen,dominikzogg,nickvergessen,vicb,gnugat,mvrhov,franzliedke
cvrebert,cvrebert,mattrobenolt,forkbot,Zearin,MoOx,potomak,joliss,cavneb,waffleio,kud,ebryn,PascalPrecht,joefiorini,eviltrout,bcardarella
shrikeh,shrikeh,CloCkWeRX,RobinvdVleuten,roderik,camspiers,mvriel,Anahkiasen,jprice,crynobone,hkdobrev,adrianmacneil,pmjones,blaugueux,mbeall,wimvds
domcleal,domcleal,grosser,charliesome,kirs,rafaelfranca,wfarr,sanemat,arthurnn,btm,tboerger,vipulnsward,xaviershay,miry,VictorLowther,alext
juliocamarero,juliocamarero,sergiogonzalez,jonmak08,hhuijser,moltam89,samuelkong,matethurzo,marclundgren,ipeychev,marcellustavares,JorgeFerrer,laszlocsontos,ealonso,robertoDiaz,shuyangzhou
arunoda,arunoda,zaach,mcollina,unwiredben,joscha,Contra,jcrugzz,ScottDowne,EvanHahn,sam-github,caridy,kissygallery,rschmukler,papandreou,cadecairos
ai,ai,andrew,janl,demands,ixti,kesla,glebm,robwierzbowski,jherdman,Aaron1011,gsamokovarov,defunctzombie,locks,gdi2290,jfirebaugh
bobsilverberg,bobsilverberg,treyhunner,acdha,biyeun,yedi,robhudson,AndreiH,bebef1987,deiferni,whit537,rlr,tdesvenain,snopoke,brutasse,mgaitan
taylorotwell,taylorotwell,mickaelandrieu,Maks3w,dominikzogg,ruebot,egeloen,weierophinney,rande,dunglas,willdurand,chillu,h4cc,NamelessCoder,gnugat,thewilkybarkid
Contra,Contra,mcollina,unwiredben,arunoda,zaach,caridy,joscha,rschmukler,papandreou,cadecairos,anthonyshort,latentflip,jcrugzz,alanshaw,kissygallery
dantleech,dantleech,shieldo,stloyd,adrienbrault,uwej711,beberlei,schmittjoh,tristanlins,nicolas-bastien,romainneutron,EmmanuelVella,drak,hason,WouterJ,guilhermeblanco
jreidinger,jreidinger,branan,lslezak,bodepd,MosesMendoza,komidore64,iloveitaly,jhoblitt,blkperl,cam156,srt32,robertchoi8099,futhr,wilreichert,blackjid
