btm,btm,reaperhulk,wvanbergen,robertchoi8099,ikedam,oleg-nenashev,rafecolton,bflad,imod,rjmackay,vjuranek,stephenc,sneal,kohsuke,CloCkWeRX
defunctzombie,defunctzombie,frankrousseau,tomhughes,ktmud,dahlia,ben-ng,pboling,caridy,Contra,jaredhanson,lightsofapollo,ericf,gjohnson,jsilvestre,aenario
ealonso,ealonso,sergiogonzalez,JorgeFerrer,moltam89,csierra,lipusz,marcellustavares,samuelkong,shuyangzhou,epgarcia,laszlocsontos,vilmospapp,robertoDiaz,johnnyhowey,KocsisDaniel
ahmadia,ahmadia,JensTimmerman,nouiz,stdweird,boegel,larsmans,LeaVerou,dankilman,gregcaporaso,cgohlke,astrofrog,chapmanb,takluyver,matthew-brett,asmeurer
treeder,treeder,jpadilla,gegere,adelevie,jasonnoble,ADmad,stdavis,lorenzo,rchavik,jean,AD7six,aheckmann,halfdan,dereuromark,ebidel
jeremyfelt,jeremyfelt,willmot,danielbachhuber,joehoyle,aaronjorbin,mattheu,ivanoats,pippinsplugins,rmccue,bueltge,eymengunay,schlamar,fgrehm,atomic-penguin,hectcastro
peterbe,peterbe,m8ttyB,stephendonner,pmclanahan,glogiotatidis,warner,AndreiH,bebef1987,codekitchen,lonnen,Osmose,bobsilverberg,kumar303,cvan,tofumatt
dereuromark,dereuromark,lynnaloo,bendiy,cweiske,jasonnoble,wimvds,real34,ADmad,lorenzo,stdavis,rchavik,jean,AD7six,aheckmann,ebidel
stewart,stewart,edgarSilva,deadprogram,abotalov,jdurand,joliss,tenderlove,justincampbell,krainboltgreene,PragTob,arthurnn,parndt,tagomoris,johnjohndoe,kyanny
andymckay,andymckay,pmclanahan,WoLpH,nemesisdesign,lonnen,peterbe,kumar303,Neamar,rlr,ktmud,cvan,tofumatt,groovecoder,ametaireau,willkg
andylyall,andylyall,bitdeli-chef,gregorybesson,tansaku,pombredanne,parndt,sindresorhus,sethvargo,JonRowe,kud,xaviershay,wilmoore,grosser,Vexatos,twilson63
Turbo87,Turbo87,alfredodeza,leplatrem,patrickarlt,ktmud,bencevans,moorepants,titanous,weakish,andymckay,jdutil,mbj,mattupstate,mcepl,ralphbean
justinabrahms,justinabrahms,akaptur,pydanny,chrisdickinson,samccone,igalic,esoergel,aheckmann,fcurella,acdha,dominictarr,nonZero,guilhem,juliangruber,Raynos
ruebot,ruebot,daniel-dgi,qadan,MorganDawe,willtp87,ajstanley,nigelgbanks,jordandukart,adam-vessey,lbjay,edsu,joschi,cbeer,adrienthebo,jlambert121
cvrebert,cvrebert,warner,kiorky,sharoonthomas,elbaschid,dahlia,ktmud,gotcha,miracle2k,selwin,avelino,aaugustin,timoschilling,reinout,andymckay
shrikeh,shrikeh,guillermo-carrasco,steventux,pjedrzejewski,matthewford,heathd,Shotclog,vinayvinay,fatbusinessman,JordanHatch,jabley,jamiecobbett,mnowster,alext,ronanguilloux
domcleal,domcleal,branan,MosesMendoza,komidore64,pitr-ch,ehelms,jhoblitt,blkperl,ares,haus,ghoneycutt,adrienthebo,hunner,djmitche,iNecas
juliocamarero,juliocamarero,sergiogonzalez,JorgeFerrer,moltam89,csierra,ealonso,lipusz,marcellustavares,samuelkong,shuyangzhou,epgarcia,laszlocsontos,vilmospapp,robertoDiaz,johnnyhowey
arunoda,arunoda,tmeasday,raix,silverbucket,PaulVI,ansell,codeinthehole,alsotang,jcrugzz,olalonde,raymondfeng,sam-github,mcollina,joshk,seanmonstar
ai,ai,james2doyle,sokra,amiel,sapegin,JangoSteve,jprichardson,anthonyshort,jeffharrell,jcasimir,kizu,rschmukler,azakus,Rich-Harris,hughsk
bobsilverberg,bobsilverberg,m8ttyB,stephendonner,gaye,AndreiH,bebef1987,asutherland,kumar303,peterbe,Osmose,cvan,tofumatt,shane-tomlinson,rlr,lightsofapollo
taylorotwell,taylorotwell,gobengo,cedricziel,NamelessCoder,vesln,FokkeZB,esteinborn,rjmackay,lol768,AndreasHeiberg,Osmose,a9un9hari,Remo,Asmod4n,adrianmacneil
Contra,Contra,appleboy,euforic,KenanY,phated,samccone,badboy,nfroidure,rschmukler,mikesherov,kevva,MatthewMueller,guille,jackfranklin,aheckmann
dantleech,dantleech,eko,Bladrak,baldurrensch,eymengunay,dongilbert,blaugueux,norzechowicz,ahilles107,gnugat,K-Phoen,rdohms,garak,mvrhov,EmmanuelVella
jreidinger,jreidinger,kobliha,lslezak,jsuchome,mvidner,dirkmueller,sergeylevchenko,Axam,cloudedge,waynepallen,rajinir,dpaterson,cdearborn,arkadykanevsky,VictorLowther
chris-rock,chris-rock,silverbucket,JohnMcLear,andris9,simong,euforic,chadlung,lloydwatkin,olalonde,stevendgonzales,titanous,weakish,bengourley,samccone,cristiandouce
alrra,alrra,simong,garbados,prashtx,Asmod4n,skeggse,selwin,aaugustin,avelino,reinout,treyhunner,zspencer,acatton,toastdriven,bruth
vojtajina,vojtajina,janantala,patrickarlt,arv,appleboy,gotcha,neoziro,IgorMinar,rpflorence,robinboehm,Dignifiedquire,darobin,matthewp,btford,toranb
Eric-Brison,Eric-Brison,eguaj,bitdeli-chef,gregorybesson,tansaku,pombredanne,parndt,sindresorhus,sethvargo,JonRowe,kud,xaviershay,wilmoore,Vexatos,grosser
deepak1556,deepak1556,mrocklin,scopatz,darobin,cavneb,gvwilson,mibamur,arokem,ebryn,jrf0110,rschmukler,arian,twokul,Daniel-Hug,MatthewMueller
tansaku,tansaku,bitdeli-chef,gregorybesson,thomasleveil,twilson63,Vexatos,sbesson,bezumkin,adamantivm,gobengo,verdet23,RyanTech,paales,lolautruche,tterrag1098
trangvh,trangvh,edsu,kissygallery,daguar,ttthanh,jancborchardt,DeepDiver1975,ebidel,eric,azakus,crynobone,mgaitan,tlvince,lsmith77,phalcon
epgarcia,epgarcia,JorgeFerrer,moltam89,csierra,ealonso,lipusz,marcellustavares,samuelkong,shuyangzhou,sergiogonzalez,laszlocsontos,vilmospapp,robertoDiaz,johnnyhowey,KocsisDaniel
tfoote,tfoote,adamantivm,abubeck,ipa-fmw,dirk-thomas,stonier,jihoonl,ipa-nhg,ipa-fxm,wjwwood,ralphbean,DeepDiver1975,balupton,ZDroid,kirs
